"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60066","Allow users to filter the store list based on the services offered","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:46:20 GMT 2025","passed","Thu Mar 27 06:47:20 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterStations"
"","277754","User tries to search for stores using using different criteria","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:57:59 GMT 2025","passed","Thu Mar 27 07:02:37 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToSearchForStoresUsingDifferentCriteria"
"User Sign-in to IngoApp using PhoneNumber and OTP","116318","User Sign-in to IngoApp using PhoneNumber and OTP","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:26:31 GMT 2025","passed","Thu Mar 27 07:28:27 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","ingoUserSignIntoAppUsingPhoneNumberAndOTP"
"Background task that logs the user into the INGO application","142191","BACKGROUND: Log in as existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:40:04 GMT 2025","passed","Thu Mar 27 06:42:27 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","logInAsExistingUser"
"Sign in, delete your account try to sign in again","186202","Deleting account and sign in again using same email","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:16:09 GMT 2025","failed","Thu Mar 27 07:19:16 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","deleteExistingUserAndSignInUsingSameEmail"
"","23551","BACKGROUND: Log in as Guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:39:58 GMT 2025","passed","Thu Mar 27 06:40:21 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","logInAsGuestUser"
"Background task that logs the user into the INGO application","143737","BACKGROUND: Log in as existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:39:58 GMT 2025","passed","Thu Mar 27 06:42:21 GMT 2025","testcases.CardManagementTests","GMAP INGO Tests | CardManagement","testcases.CardManagementTests","logInAsAnExistingUserUsingMyPhoneNumber"
"Guest user cannot see the savings widget","33604","Guest user cannot see the savings widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:45:51 GMT 2025","passed","Thu Mar 27 06:46:25 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheSavingsWidget"
"User is able to see store widget on dashboard","7444","User is able to see store widget on dashboard","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:47:35 GMT 2025","passed","Thu Mar 27 06:47:43 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","userIsAbleToSeeStoreWidgetOnDashboard"
"","25387","Guest user tried to view stores by searching for a store","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:42:18 GMT 2025","passed","Thu Mar 27 06:42:43 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","SearchForLocationAndClickOnStore"
