"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User tries to add invalid Credit Card to wallet","50040","User tries to add invalid Credit Card to wallet - DESC","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:39:28 GMT 2025","passed","Thu Mar 27 12:40:18 GMT 2025","testcases.AccountTests","GMAP Tests | Account","testcases.AccountTests","userTriesToAddInvalidCreditCardToWallet"
"[GMAP] Test to verify the display of new fuel types in Store Details, validate correctness and persistence","174370","Verify New Fuel Types Display in Store Details","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:47:38 GMT 2025","passed","Thu Mar 27 12:50:33 GMT 2025","testcases.OtherFeaturesTests","GMAP Tests | Other Features","testcases.OtherFeaturesTests","verifyNewFuelTypesDisplayInStoreDetails"
"EXTRA Tier 3 CWS purchase flow - user located at store with CWS - NO","274952"," Extra Tier 3 CWS purchase flow - user located at store with CWS - NO","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:11:08 GMT 2025","passed","Thu Mar 27 12:15:43 GMT 2025","testcases.ExtraTier3NOTests","GMAP Tests | Extra Tier 3 NO","testcases.ExtraTier3NOTests","CWSPurchaseFlowUserLocatedAtStoreWithCWSTier3NO"
"User tries to do cws in Running Status when at Native Store with Mobile Payments Carwash and CWS Available","31826","User tries to do cws in Running Status when at Native Store with Mobile Payments Carwash and CWS Available","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 11:48:44 GMT 2025","broken","Thu Mar 27 11:49:16 GMT 2025","testcases.CarWashSubscriptionTests","GMAP Tests | Car Wash Subscription","testcases.CarWashSubscriptionTests","cwsRunningStatusWhenAtNativeStoreWithMobilePaymentsCarWashAndCWSAvailable"
"User tries to top up gift card successfully","239310","User tries to top up gift card successfully","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 13:06:34 GMT 2025","passed","Thu Mar 27 13:10:33 GMT 2025","testcases.GiftCardFuellingTests","GMAP Tests | Gift Card Fuelling","testcases.GiftCardFuellingTests","userTriesToTopUpGiftCardSuccessfully"
"User tries to buy CWS while in store offering CWS in the BU area","187021","User tries to buy CWS with existing plate","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:48:54 GMT 2025","passed","Thu Mar 27 12:52:01 GMT 2025","testcases.SubscriptionsPurchasingTests","GMAP Tests | Subscriptions Purchasing","testcases.SubscriptionsPurchasingTests","userTriesToBuyCWSWithExistingPlate"
"Adding car to Pay By Plate - user tries to add an existing plate","76440","Adding car to Pay By Plate - user tries to add an existing plate","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:19:30 GMT 2025","passed","Thu Mar 27 12:20:46 GMT 2025","testcases.PayByPlateTests","GMAP Tests | Pay By Plate","testcases.PayByPlateTests","userTriesToAddAnExistingPlateInPBP"
"User tries to single fuel using non-3Ds credit card, when not enrolled To PBP and no payment method is added","271716","User tries to single fuel using non-3Ds credit card, when not enrolled To PBP and no payment method is added","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:58:59 GMT 2025","passed","Thu Mar 27 13:03:31 GMT 2025","testcases.SingleFuellingTests","GMAP Tests | Single Fueling","testcases.SingleFuellingTests","userTriesToSingleFuelWithNon3DSCreditCard"
"User tries to purchase Gift Card from CTA","118268","User tries to purchase Gift Card from CTA","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:59:34 GMT 2025","passed","Thu Mar 27 13:01:33 GMT 2025","testcases.GiftCardTests","GMAP Tests | Gift Card","testcases.GiftCardTests","userTriesToPurchaseGiftCard"
"User tries to use single wash consumption when Car Wash Subscription is available","174067","User tries to use single wash consumption","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:44:54 GMT 2025","broken","Thu Mar 27 12:47:48 GMT 2025","testcases.CarWashTests","GMAP Tests | Car Wash","testcases.CarWashTests","userTriesToUseSingleWashConsumption"
"User tries to refuel using One-Touch flow","261177","User tries to refuel using One-Touch flow","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 11:56:22 GMT 2025","passed","Thu Mar 27 12:00:43 GMT 2025","testcases.PayByPlateTests","GMAP Tests | Pay By Plate","testcases.PayByPlateTests","userTriesToRefuelWithOneTouchFlow"
"User tries to access CWS flow at PbP pilot area when not at store - native BU","85598","User tries to access CWS flow at PbP pilot area when not at store - native BU","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 11:45:31 GMT 2025","passed","Thu Mar 27 11:46:57 GMT 2025","testcases.CarWashSubscriptionTests","GMAP Tests | Car Wash Subscription","testcases.CarWashSubscriptionTests","userTriesToAccessCWSFlowInPbpAtNativeBU"
"User tries to set new Credit Card as default","70429","User tries to set new Credit Card as default","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:41:46 GMT 2025","passed","Thu Mar 27 12:42:56 GMT 2025","testcases.AccountTests","GMAP Tests | Account","testcases.AccountTests","userTriesToSetNewCreditCardAsDefault"
"User tries to single fuel using credit card with default fueling preferences, when not enrolled To PBP","263621","User tries to single fuel using credit card with default fueling preferences, when not enrolled To PBP","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 13:08:45 GMT 2025","passed","Thu Mar 27 13:13:09 GMT 2025","testcases.SingleFuellingTests","GMAP Tests | Single Fueling","testcases.SingleFuellingTests","userTriesToSingleFuelWithDefaultFuelPreferences"
"EXTRA Tier 1. Single wash purchase flow - SE","286907","EXTRA Tier 1. Single wash purchase flow - SE","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 11:42:38 GMT 2025","passed","Thu Mar 27 11:47:25 GMT 2025","testcases.ExtraTier1SETests","GMAP Tests | Extra Tier 1 SE","testcases.ExtraTier1SETests","singleWashPurchaseFlowTier1SE"
"User tries to Get Directions to a Circle K Location","51778","Get Directions to a Circle K Location","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:46:19 GMT 2025","passed","Thu Mar 27 12:47:10 GMT 2025","testcases.OtherFeaturesTests","GMAP Tests | Other Features","testcases.OtherFeaturesTests","verifyGetDirectionToACircleKLocation"
"User tries to refuel using single fuel using automatic renewal Gift Card with native currency","270767","User tries to refuel using single fuel using automatic renewal Gift Card with native currency","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:49:19 GMT 2025","passed","Thu Mar 27 12:53:50 GMT 2025","testcases.GiftCardFuellingTests","GMAP Tests | Gift Card Fuelling","testcases.GiftCardFuellingTests","userTriesToRefuelUsingSingleFuelWithGiftCardNativeCurrency"
"EXTRA Tier 2 CWS plan consumption with CURRENT flow - SE","185472","EXTRA Tier 2 CWS plan consumption with current flow - SE","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:22:38 GMT 2025","broken","Thu Mar 27 12:25:44 GMT 2025","testcases.ExtraTier2SETests","GMAP Tests | Extra Tier 2 SE","testcases.ExtraTier2SETests","CWSConsumptionFlowTier2SE"
"User tries to purchase car wash using Frictionless flow","219409","User tries to purchase car wash using Frictionless flow","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:42:02 GMT 2025","passed","Thu Mar 27 12:45:41 GMT 2025","testcases.CarWashSubscriptionTests","GMAP Tests | Car Wash Subscription","testcases.CarWashSubscriptionTests","userTriesToPurchaseCarWashWithFrictionLessFlow"
"User verify store details screen to show the store information","122522","User verify store details screen to show the store information","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:41:54 GMT 2025","passed","Thu Mar 27 12:43:57 GMT 2025","testcases.OtherFeaturesTests","GMAP Tests | Other Features","testcases.OtherFeaturesTests","userVerifyTheDetailsDisplayedOnStoreLocatorScreen"
"User tries to search for stations using different criteria. The search history is saved.","118995","User tries to use filtered Search","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:39:38 GMT 2025","passed","Thu Mar 27 12:41:37 GMT 2025","testcases.OtherFeaturesTests","GMAP Tests | Other Features","testcases.OtherFeaturesTests","userTriesToFilterStations"
"User tries to refuel using single fuel using automatic renewal Gift Card with foreign currency","261554","User tries to refuel using single fuel using automatic renewal Gift Card with foreign currency","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:54:12 GMT 2025","passed","Thu Mar 27 12:58:34 GMT 2025","testcases.GiftCardFuellingTests","GMAP Tests | Gift Card Fuelling","testcases.GiftCardFuellingTests","userTriesToRefuelUsingSingleFuelWithGiftCardForeignCurrency"
"User tries to add new 3DS Credit Card to wallet","91642","User tries to add new 3DS Credit Card to wallet","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 12:44:27 GMT 2025","passed","Thu Mar 27 12:45:59 GMT 2025","testcases.AccountTests","GMAP Tests | Account","testcases.AccountTests","userTriesToAddNew3DSCreditCardToWallet"
