"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","[INGO][GMAP] Invoices","0","[GMAP] Account Invoice","0","0","[INGO][GMAP] Invoice List Screen","0"
"1","[INGO][GMAP] Transaction details","0","[INGO][GMAP] Transactions List Screen","0","0","[INGO][GMAP] Transaction List Screen","0"
"1","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","0","0","[INGO] Store Search result filters","0"
"1","[INGO][GMAP] Free liter loyalty feature parity","0","[Ingo][GMAP] Free liter loyalty feature parity","0","0","[INGO][GMAP] Free Liters Information Overlay and No Free Liters Screen","0"
"1","[INGO][GMAP] ONBOARDING","0","[INGO] Onboarding Test","0","0","[GMAP][INGO] Sign up via phone number","0"
"1","[INGO][GMAP] Invoices","0","","0","0","","0"
"2","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard","0","0","[INGO][GMAP] Redirect to Store Details on click of Store Widget","0"
"2","[INGO][GMAP] Free liter loyalty feature parity","0","[Ingo][GMAP] Free liter loyalty feature parity","0","0","[INGO][GMAP] Free Liters History Screen","0"
"1","[INGO][GMAP] Dashboard - HomePage","0","","0","0","","0"
"1","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","0","0","[INGO] Recent Store Searches","0"
"1","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","0","0","[INGO] Store Search Type Ahead Suggestions","0"
"1","[INGO][GMAP] INGO Games","0","[INGO on GMAP] - Games","0","0","[INGO][Games] For non logged in users align the text on Games landing screen to center aligned","0"
"1","[INGO][GMAP] - Store locator - brand filter","0","","0","0","","0"
"1","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard Analysis","0","0","[INGO][GMAP] Your Savings Widget","0"
"1","[INGO][GMAP] - Store locator - brand filter","0","[GMAP] Store locator - brand filter","0","0","[INGO][GMAP] Store Search","0"
"1","[INGO][GMAP] Dashboard - HomePage","0","[INGO][GMAP] Header Widget","0","0","[INGO][GMAP] Greeting Header Widget","0"
"1","[INGO][GMAP] Transaction details","0","","0","0","","0"
"1","[INGO][GMAP] ONBOARDING","0","[INGO] New user sign up via Email address on first/clean app run - happy path","0","0","[GMAP][INGO] Sign In - First Launch","0"
"1","[INGO][GMAP] Free liter loyalty feature parity","0","","0","0","","0"
"1","[INGO][GMAP] Transaction details","0","[INGO][GMAP] Feature parity E2E Testing","0","0","[INGO] Change illustration - empty stages and error handling","0"
